id,name,price,description
1,Pontiac,7111.24,Enhanced fresh-thinking success
2,Audi,2880.89,Configurable upward-trending challenge
3,Toyota,3980.97,Vision-oriented bottom-line parallelism
4,Dodge,8277.7,Intuitive heuristic success
5,Land Rover,5840.59,Multi-tiered executive local area network
6,BMW,9473.78,Synergized client-driven policy
7,Chevrolet,6694.51,Upgradable context-sensitive service-desk
8,Dodge,6262.47,Re-engineered interactive access
9,GMC,981.04,Object-based bottom-line concept
10,GMC,5427.33,User-centric multi-state installation
